Date,Zach,Pete,,Zach Total,Pete Total,Delta,,Zach Wins,Pete Wins,,Score,Zach Scores,Score,Pete Scores,,,,Date,Games Played,Pete Score,Zach Score
2025-03-15,8,,,Gammon,,,,,,,,,,,,,,,,,
2025-03-16,,2,,,,,,,,,,,,,,,,,,,
2025-03-16,,2,,,,,,,,,,,,,,,,,,,
2025-03-16,,1,,,,,,,,,,,,,,,,,,,
2025-03-16,1,,,,,,,,,,,,,,,,,,,,
2025-03-16,,1,,,,,,,,,,,,,,,,,,,
2025-03-16,4,,,,,,,,,,,,,,,,,,,,
2025-04-06,2,,,,,,,,,,,,,,,,,,,,
2025-04-06,,4,,,,,,,,,,,,,,,,,,,
2025-04-06,1,,,,,,,,,,,,,,,,,,,,
2025-04-06,,1,,,,,,,,,,,,,,,,,,,
2025-04-06,1,,,,,,,,,,,,,,,,,,,,
2025-04-06,1,,,,,,,,,,,,,,,,,,,,
2025-04-06,4,,,,,,,,,,,,,,,,,,,,
2025-04-06,8,,,,,,,,,,,,,,,,,,,,
2025-04-06,,4,,,,,,,,,,,,,,,,,,,
2025-04-06,1,,,,,,,,,,,,,,,,,,,,
2025-04-09,,1,,,,,,,,,,,,,,,,,,,
2025-04-09,,2,,,,,,,,,,,,,,,,,,,
2025-04-09,1,,,,,,,,,,,,,,,,,,,,
2025-04-09,,1,,,,,,,,,,,,,,,,,,,
2025-04-09,,4,,,,,,,,,,,,,,,,,,,
2025-04-09,,1,,,,,,,,,,,,,,,,,,,
2025-04-10,,1,,,,,,,,,,,,,,,,,,,
2025-04-10,,1,,,,,,,,,,,,,,,,,,,
2025-04-10,1,,,,,,,,,,,,,,,,,,,,
2025-04-10,,4,,,,,,,,,,,,,,,,,,,
2025-04-10,,1,,,,,,,,,,,,,,,,,,,
2025-04-14,,2,,,,,,,,,,,,,,,,,,,
2025-04-14,,1,,,,,,,,,,,,,,,,,,,
2025-04-14,,1,,,,,,,,,,,,,,,,,,,
2025-04-14,1,,,,,,,,,,,,,,,,,,,,
2025-04-14,1,,,,,,,,,,,,,,,,,,,,
2025-04-14,,2,,,,,,,,,,,,,,,,,,,
2025-04-14,,1,,,,,,,,,,,,,,,,,,,
2025-04-14,4,,,,,,,,,,,,,,,,,,,,
2025-04-14,,2,,,,,,,,,,,,,,,,,,,
2025-04-14,,2,,,,,,,,,,,,,,,,,,,
2025-04-14,2,,,,,,,,,,,,,,,,,,,,
2025-04-14,,1,,,,,,,,,,,,,,,,,,,
2025-04-14,,1,,,,,,,,,,,,,,,,,,,
2025-04-15,,2,,,,,,,,,,,,,,,,,,,
2025-04-15,,4,,,,,,,,,,,,,,,,,,,
2025-04-15,2,,,Gammon,,,,,,,,,,,,,,,,,
2025-04-16,,1,,,,,,,,,,,,,,,,,,,
2025-04-16,1,,,,,,,,,,,,,,,,,,,,
2025-04-16,1,,,,,,,,,,,,,,,,,,,,
2025-04-16,,2,,,,,,,,,,,,,,,,,,,
2025-04-16,1,,,,,,,,,,,,,,,,,,,,
2025-04-16,1,,,,,,,,,,,,,,,,,,,,
2025-04-16,2,,,Gammon,,,,,,,,,,,,,,,,,
2025-04-16,,4,,Gammon,,,,,,,,,,,,,,,,,
2025-04-17,1,,,,,,,,,,,,,,,,,,,,
2025-04-17,,2,,,,,,,,,,,,,,,,,,,
2025-04-17,,1,,,,,,,,,,,,,,,,,,,
2025-04-17,2,,,gammon,,,,,,,,,,,,,,,,,
2025-04-17,1,,,,,,,,,,,,,,,,,,,,
2025-04-17,,2,,gammon ,,,,,,,,,,,,,,,,,
2025-04-17,4,,,gammon,,,,,,,,,,,,,,,,,
2025-04-17,1,,,,,,,,,,,,,,,,,,,,
2025-04-17,2,,,,,,,,,,,,,,,,,,,,
